Country,Country Abbreviation,Year,Average annual working hours per worker
Turkey,TUR,2003,1943
United Kingdom,GBR,2003,1669.3804
United States,USA,2003,1791.0933
Uruguay,URY,2003,1612.8038
Venezuela,VEN,2003,1801.2109
Vietnam,VNM,2003,2254.8853
Argentina,ARG,2004,1730.8173
Australia,AUS,2004,1805.0198
Austria,AUT,2004,1776.4658
Bangladesh,BGD,2004,2061.4739
Belgium,BEL,2004,1572.9613
Brazil,BRA,2004,1803.1261
Bulgaria,BGR,2004,1663.6887
Cambodia,KHM,2004,2374.304
Canada,CAN,2004,1759.0833
Chile,CHL,2004,2232
China,CHN,2004,2167.8962
Colombia,COL,2004,2004.2563
Costa Rica,CRI,2004,2375.4021
Croatia,HRV,2004,1926.585
Cyprus,CYP,2004,1878.5951
Czechia,CZE,2004,1817.061
Denmark,DNK,2004,1458.1553
Ecuador,ECU,2004,1772.0262
Estonia,EST,2004,1986.4607
Finland,FIN,2004,1707.3223
France,FRA,2004,1525.9967
Germany,DEU,2004,1422.2234
Greece,GRC,2004,2082.5518
Hong Kong,HKG,2004,2354.375
Hungary,HUN,2004,1986.1238
Iceland,ISL,2004,1668.0083
India,IND,2004,2095.7783
Indonesia,IDN,2004,1969.0544
Ireland,IRL,2004,1875.256
Israel,ISR,2004,1973.2894
Italy,ITA,2004,1815.3416
Japan,JPN,2004,1841.5
Latvia,LVA,2004,1878.3942
Lithuania,LTU,2004,1878.5562
Luxembourg,LUX,2004,1577.8783
Malaysia,MYS,2004,2318.8247
Malta,MLT,2004,2091.1963
Mexico,MEX,2004,2271
Myanmar,MMR,2004,2443.6851
Netherlands,NLD,2004,1447.5278
New Zealand,NZL,2004,1830
Norway,NOR,2004,1423.8383
Pakistan,PAK,2004,2176.8701
Peru,PER,2004,1974.6361
Philippines,PHL,2004,2084.7686
Poland,POL,2004,2084.5327
Portugal,PRT,2004,1892.8103
Romania,ROU,2004,1845.963
Russia,RUS,2004,1993
Singapore,SGP,2004,2407.2163
Slovakia,SVK,2004,1741.9944
Slovenia,SVN,2004,1736.5703
South Africa,ZAF,2004,2342.2734
South Korea,KOR,2004,2391.532
Spain,ESP,2004,1741.507
Sri Lanka,LKA,2004,1856.2976
Sweden,SWE,2004,1605.5105
Switzerland,CHE,2004,1694.9532
Taiwan,TWN,2004,2135.552
Thailand,THA,2004,2389.0415
Turkey,TUR,2004,1918
United Kingdom,GBR,2004,1666.7157
United States,USA,2004,1789.9679
Uruguay,URY,2004,1638.4481
Venezuela,VEN,2004,1896.6949
Vietnam,VNM,2004,2207.4919
Argentina,ARG,2005,1761.3994
Australia,AUS,2005,1803.0101
Austria,AUT,2005,1752.4894
Bangladesh,BGD,2005,2160.9841
Belgium,BEL,2005,1565.4303
Brazil,BRA,2005,1783.1312
Bulgaria,BGR,2005,1658.6464
Cambodia,KHM,2005,2373.7581
Canada,CAN,2005,1746.6008
Chile,CHL,2005,2157
China,CHN,2005,2192.3545
Colombia,COL,2005,2013.9287
Costa Rica,CRI,2005,2357.8464
Croatia,HRV,2005,1926.5166
Cyprus,CYP,2005,1847.3258
Czechia,CZE,2005,1816.9883
Denmark,DNK,2005,1451.4474
Ecuador,ECU,2005,1804.7694
Estonia,EST,2005,2008.3733
Finland,FIN,2005,1697.0879
France,FRA,2005,1527.3717
Germany,DEU,2005,1411.28
Greece,GRC,2005,2136.239
Hong Kong,HKG,2005,2346.386
Hungary,HUN,2005,1986.9038
Iceland,ISL,2005,1659.584
India,IND,2005,2096.916
Indonesia,IDN,2005,1953.516
Ireland,IRL,2005,1883.1937
Israel,ISR,2005,1965.0957
Italy,ITA,2005,1812.0552
Japan,JPN,2005,1827.8
Latvia,LVA,2005,1905.5121
Lithuania,LTU,2005,1878.9719
Luxembourg,LUX,2005,1549.8424
Malaysia,MYS,2005,2361.2639
Malta,MLT,2005,2157.9136
Mexico,MEX,2005,2290
Myanmar,MMR,2005,2443.2632
Netherlands,NLD,2005,1433.5756
New Zealand,NZL,2005,1815
Norway,NOR,2005,1427.7825
Pakistan,PAK,2005,2164.6743
Peru,PER,2005,1956.4169
Philippines,PHL,2005,2103.6121
Poland,POL,2005,2079.0483
Portugal,PRT,2005,1894.8535
Romania,ROU,2005,1852.9121
Russia,RUS,2005,1989
Singapore,SGP,2005,2407.3508
Slovakia,SVK,2005,1769.4879
Slovenia,SVN,2005,1696.6035
South Africa,ZAF,2005,2399.4282
South Korea,KOR,2005,2351.3191
Spain,ESP,2005,1725.6006
Sri Lanka,LKA,2005,1887.6925
Sweden,SWE,2005,1605.0636
Switzerland,CHE,2005,1689.9702
Taiwan,TWN,2005,2127.5093
Thailand,THA,2005,2337.9712
Turkey,TUR,2005,1936
United Kingdom,GBR,2005,1669.7372
United States,USA,2005,1787.311
Uruguay,URY,2005,1628.0012
Venezuela,VEN,2005,1922.8501
Vietnam,VNM,2005,2191.7068
Argentina,ARG,2006,1765.6013
Australia,AUS,2006,1791.9933
Austria,AUT,2006,1735.6696
Bangladesh,BGD,2006,2259.6313
Belgium,BEL,2006,1572.2457
Brazil,BRA,2006,1778.7123
Bulgaria,BGR,2006,1654.1027
Cambodia,KHM,2006,2374.1353
Canada,CAN,2006,1744.8906
Chile,CHL,2006,2165
China,CHN,2006,2183.0564
Colombia,COL,2006,2036.0232
Costa Rica,CRI,2006,2365.613
Croatia,HRV,2006,1928.6445
Cyprus,CYP,2006,1832.9028
Czechia,CZE,2006,1799.1667
Denmark,DNK,2006,1455.6711
Ecuador,ECU,2006,1772.748
Estonia,EST,2006,2000.9904
Finland,FIN,2006,1692.9031
France,FRA,2006,1510.6074
Germany,DEU,2006,1424.6752
Greece,GRC,2006,2125.3364
Hong Kong,HKG,2006,2315.4949
Hungary,HUN,2006,1983.4768
Iceland,ISL,2006,1649.4749
India,IND,2006,2097.0964
Indonesia,IDN,2006,1965.111
Ireland,IRL,2006,1878.813
Israel,ISR,2006,1951.7192
Italy,ITA,2006,1812.5823
Japan,JPN,2006,1836
Latvia,LVA,2006,1906.8286
Lithuania,LTU,2006,1874.2102
Luxembourg,LUX,2006,1552.2755
Malaysia,MYS,2006,2349.0852
Malta,MLT,2006,2162.856
Mexico,MEX,2006,2278
Myanmar,MMR,2006,2442.7166
Netherlands,NLD,2006,1430.4602
New Zealand,NZL,2006,1795
Norway,NOR,2006,1425.226
Pakistan,PAK,2006,2131.4966
Peru,PER,2006,1968.9254
Philippines,PHL,2006,2077.9478
Poland,POL,2006,2080.5796
Portugal,PRT,2006,1882.9833
Romania,ROU,2006,1869.286
Russia,RUS,2006,1998
Singapore,SGP,2006,2399.0986
Slovakia,SVK,2006,1774.454
Slovenia,SVN,2006,1667.4508
South Africa,ZAF,2006,2315.748
South Korea,KOR,2006,2345.9138
Spain,ESP,2006,1715.6556
Sri Lanka,LKA,2006,1835.4296
Sweden,SWE,2006,1599.1272
Switzerland,CHE,2006,1679.2384
Taiwan,TWN,2006,2134.6057
Thailand,THA,2006,2325.6384
Turkey,TUR,2006,1944
United Kingdom,GBR,2006,1663.9857
United States,USA,2006,1787.5776
Uruguay,URY,2006,1622.7958
Vietnam,VNM,2006,2240.8411
Argentina,ARG,2007,1780.5565
Australia,AUS,2007,1792.6515
Austria,AUT,2007,1724.7792
Bangladesh,BGD,2007,2245.3359
Belgium,BEL,2007,1576.6563
Brazil,BRA,2007,1781.6913
Bulgaria,BGR,2007,1654.5214
Cambodia,KHM,2007,2380.8865
Canada,CAN,2007,1741.265
Chile,CHL,2007,2128
China,CHN,2007,2152.6538
Colombia,COL,2007,2058.3601
Costa Rica,CRI,2007,2392.5747
Croatia,HRV,2007,1930.6725
Cyprus,CYP,2007,1862.1289
Czechia,CZE,2007,1784.3645
Denmark,DNK,2007,1432.9716
Ecuador,ECU,2007,1792.0309
Estonia,EST,2007,1998.4846
Finland,FIN,2007,1691.4915
France,FRA,2007,1530.0048
Germany,DEU,2007,1424.3522
Greece,GRC,2007,2110.9885
Hong Kong,HKG,2007,2327.78
Hungary,HUN,2007,1978.6354
Iceland,ISL,2007,1627.5717
India,IND,2007,2098.1213
Indonesia,IDN,2007,2042.9899
Ireland,IRL,2007,1864.9323
Israel,ISR,2007,1964.7948
Italy,ITA,2007,1818.1526
Japan,JPN,2007,1826.5
Latvia,LVA,2007,1878.2091
Lithuania,LTU,2007,1903.7567
Luxembourg,LUX,2007,1566.2959
Malaysia,MYS,2007,2324.4524
Malta,MLT,2007,2153.3037
Mexico,MEX,2007,2260
Myanmar,MMR,2007,2442.1189
Netherlands,NLD,2007,1429.7458
New Zealand,NZL,2007,1774
Norway,NOR,2007,1434.3196
Pakistan,PAK,2007,2135.8044
Peru,PER,2007,1989.0568
Philippines,PHL,2007,2093.1072
Poland,POL,2007,2077.6145
Portugal,PRT,2007,1899.9846
Romania,ROU,2007,1878.15
Russia,RUS,2007,1999
Singapore,SGP,2007,2378.3054
Slovakia,SVK,2007,1791.201
Slovenia,SVN,2007,1654.9396
South Africa,ZAF,2007,2322.1228
South Korea,KOR,2007,2306.1985
Spain,ESP,2007,1703.4878
Sri Lanka,LKA,2007,1861.298
Sweden,SWE,2007,1611.4955
Switzerland,CHE,2007,1668.87
Taiwan,TWN,2007,2129.8748
Thailand,THA,2007,2329.801
Turkey,TUR,2007,1911
United Kingdom,GBR,2007,1665.8214
United States,USA,2007,1786.0842
Uruguay,URY,2007,1608.918
Vietnam,VNM,2007,2241.1814
Argentina,ARG,2008,1781.4246
Australia,AUS,2008,1790.54
Austria,AUT,2008,1717.1951
Bangladesh,BGD,2008,2239.2898
Belgium,BEL,2008,1569.9797
Brazil,BRA,2008,1784.6703
Bulgaria,BGR,2008,1693.5959
Cambodia,KHM,2008,2382.5652
Canada,CAN,2008,1734.8149
Chile,CHL,2008,2095
China,CHN,2008,2131.5859
Colombia,COL,2008,2080.9419
Costa Rica,CRI,2008,2397.8833
Croatia,HRV,2008,1932.2271
Cyprus,CYP,2008,1882.5011
Czechia,CZE,2008,1789.5405
Denmark,DNK,2008,1429.9916
Ecuador,ECU,2008,1845.9872
Estonia,EST,2008,1967.7698
Finland,FIN,2008,1684.5125
France,FRA,2008,1537.7621
Germany,DEU,2008,1418.3964
Greece,GRC,2008,2106.26
Hong Kong,HKG,2008,2277.0227
Hungary,HUN,2008,1981.7538
Iceland,ISL,2008,1629.2566
India,IND,2008,2099.6331
Indonesia,IDN,2008,2044.3296
Ireland,IRL,2008,1843.8962
Israel,ISR,2008,1960.6504
Italy,ITA,2008,1807.0319
Japan,JPN,2008,1807.3
Latvia,LVA,2008,2002.2491
Lithuania,LTU,2008,1933.5715
Luxembourg,LUX,2008,1566.969
Malaysia,MYS,2008,2298.3066
Malta,MLT,2008,2162.9739
Mexico,MEX,2008,2264
Myanmar,MMR,2008,2441.4534
Netherlands,NLD,2008,1430.0443
New Zealand,NZL,2008,1761
Norway,NOR,2008,1438.6703
Pakistan,PAK,2008,2128.708
Peru,PER,2008,1989.981
Philippines,PHL,2008,2113.2456
Poland,POL,2008,2069.6001
Portugal,PRT,2008,1886.8917
Romania,ROU,2008,1878.428
Russia,RUS,2008,1997
Singapore,SGP,2008,2370.7432
Slovakia,SVK,2008,1793.3569
Slovenia,SVN,2008,1673.6466
South Africa,ZAF,2008,2284.2344
South Korea,KOR,2008,2212.9114
Spain,ESP,2008,1712.5524
Sri Lanka,LKA,2008,1823.991
Sweden,SWE,2008,1616.8645
Switzerland,CHE,2008,1659.459
Taiwan,TWN,2008,2073.5764
Thailand,THA,2008,2342.0806
Turkey,TUR,2008,1900
United Kingdom,GBR,2008,1660.4688
United States,USA,2008,1767.0127
Uruguay,URY,2008,1623.9033
Vietnam,VNM,2008,2336.6824
Argentina,ARG,2009,1742.9043
Australia,AUS,2009,1761.7957
Austria,AUT,2009,1673.0751
Bangladesh,BGD,2009,2241.0042
Belgium,BEL,2009,1548.1161
Brazil,BRA,2009,1779.3353
Bulgaria,BGR,2009,1646.2753
Cambodia,KHM,2009,2389.0847
Canada,CAN,2009,1701.0571
Chile,CHL,2009,2074
China,CHN,2009,2138.8472
Colombia,COL,2009,2049.5647
Costa Rica,CRI,2009,2354.2432
Croatia,HRV,2009,1928.8942
Cyprus,CYP,2009,1870.2334
Czechia,CZE,2009,1778.767
Denmark,DNK,2009,1417.2021
Ecuador,ECU,2009,1825.0427
Estonia,EST,2009,1832.1401
Finland,FIN,2009,1660.6558
France,FRA,2009,1521.2759
Germany,DEU,2009,1372.7135
Greece,GRC,2009,2081.2117
Hong Kong,HKG,2009,2251.9988
Hungary,HUN,2009,1963.0601
Iceland,ISL,2009,1549.0085
India,IND,2009,2103.5361
Indonesia,IDN,2009,2063.6802
Ireland,IRL,2009,1811.803
Israel,ISR,2009,1962.0277
Italy,ITA,2009,1775.6611
Japan,JPN,2009,1757.2
Latvia,LVA,2009,1952.2241
Lithuania,LTU,2009,1862.9437
Luxembourg,LUX,2009,1516.4703
Malaysia,MYS,2009,2306.564
Malta,MLT,2009,2168.4038
Mexico,MEX,2009,2255
Myanmar,MMR,2009,2440.6943
Netherlands,NLD,2009,1421.9767
New Zealand,NZL,2009,1740
Norway,NOR,2009,1416.8906
Pakistan,PAK,2009,2109.1353
Peru,PER,2009,1960.8812
Philippines,PHL,2009,2117.425
Poland,POL,2009,2054
Portugal,PRT,2009,1887.0959
Romania,ROU,2009,1867.8512
Russia,RUS,2009,1974
Singapore,SGP,2009,2335.3806
Slovakia,SVK,2009,1780.3383
Slovenia,SVN,2009,1678.7506
South Africa,ZAF,2009,2249.3083
South Korea,KOR,2009,2168.053
Spain,ESP,2009,1719.6741
Sri Lanka,LKA,2009,1810.6287
Sweden,SWE,2009,1609.1475
Switzerland,CHE,2009,1650.7788
Taiwan,TWN,2009,2054.1794
Thailand,THA,2009,2354.0847
Turkey,TUR,2009,1881
United Kingdom,GBR,2009,1638.3318
United States,USA,2009,1729.9553
Uruguay,URY,2009,1595.3755
Vietnam,VNM,2009,2405.3545
Argentina,ARG,2010,1751.7655
Australia,AUS,2010,1769.3094
Austria,AUT,2010,1665.8439
Bangladesh,BGD,2010,2250.1528
Belgium,BEL,2010,1545.848
Brazil,BRA,2010,1779.5791
Bulgaria,BGR,2010,1644.8379
Cambodia,KHM,2010,2390.1621
Canada,CAN,2010,1703.0271
Chile,CHL,2010,2070
China,CHN,2010,2172.7104
Colombia,COL,2010,2039.0653
Costa Rica,CRI,2010,2249.2654
Croatia,HRV,2010,1942.9996
Cyprus,CYP,2010,1856.2478
Czechia,CZE,2010,1799.5005
Denmark,DNK,2010,1422.235
Ecuador,ECU,2010,1827.7772
Estonia,EST,2010,1874.7017
Finland,FIN,2010,1667.7671
France,FRA,2010,1527.9509
Germany,DEU,2010,1389.8829
Greece,GRC,2010,2019.5708
Hong Kong,HKG,2010,2302.0801
Hungary,HUN,2010,1956.1836
Iceland,ISL,2010,1542.5016
India,IND,2010,2110.3926
Indonesia,IDN,2010,2054.3242
Ireland,IRL,2010,1801.2773
Israel,ISR,2010,1956.2672
Italy,ITA,2010,1777.2737
Japan,JPN,2010,1777.8
Latvia,LVA,2010,1935.1354
Lithuania,LTU,2010,1884.2866
Luxembourg,LUX,2010,1516.4979
Malaysia,MYS,2010,2290.2117
Malta,MLT,2010,2110.2021
Mexico,MEX,2010,2254
Myanmar,MMR,2010,2439.7983
Netherlands,NLD,2010,1421.3412
New Zealand,NZL,2010,1755
Nigeria,NGA,2010,1996.6565
Norway,NOR,2010,1426.4763
Pakistan,PAK,2010,2127.9233
Peru,PER,2010,1926.2219
Philippines,PHL,2010,2124.781
Poland,POL,2010,2048.8
Portugal,PRT,2010,1889.7576
Romania,ROU,2010,1860.6654
Russia,RUS,2010,1976
Singapore,SGP,2010,2373.0669
Slovakia,SVK,2010,1805.1501
Slovenia,SVN,2010,1680.1403
South Africa,ZAF,2010,2235.7429
South Korea,KOR,2010,2157.0649
Spain,ESP,2010,1710.3958
Sri Lanka,LKA,2010,1872.3361
Sweden,SWE,2010,1635.0068
Switzerland,CHE,2010,1624.3464
Taiwan,TWN,2010,2062.6953
Thailand,THA,2010,2349.2905
Turkey,TUR,2010,1877
United Kingdom,GBR,2010,1643.2079
United States,USA,2010,1736.095
Uruguay,URY,2010,1590.4384
Vietnam,VNM,2010,2300.02
Argentina,ARG,2011,1750.9741
Australia,AUS,2011,1768.6494
Austria,AUT,2011,1671.6877
Bangladesh,BGD,2011,2311.7678
Belgium,BEL,2011,1559.6238
Brazil,BRA,2011,1773.1746
Bulgaria,BGR,2011,1643.5928
Cambodia,KHM,2011,2408.062
Canada,CAN,2011,1699.6071
Chile,CHL,2011,2047
China,CHN,2011,2178.7708
Colombia,COL,2011,2040.173
Costa Rica,CRI,2011,2289.8872
Croatia,HRV,2011,1940.2762
Cyprus,CYP,2011,1841.4391
Czechia,CZE,2011,1805.6233
Denmark,DNK,2011,1436.7894
Ecuador,ECU,2011,1799.3361
Estonia,EST,2011,1918.863
Finland,FIN,2011,1662.4528
France,FRA,2011,1534.6066
Germany,DEU,2011,1392.8134
Greece,GRC,2011,2037.7003
Hong Kong,HKG,2011,2256.7612
Hungary,HUN,2011,1948.6782
Iceland,ISL,2011,1548.2521
India,IND,2011,2113.6245
Indonesia,IDN,2011,2023.2792
Ireland,IRL,2011,1702.1769
Israel,ISR,2011,1946.813
Italy,ITA,2011,1773.2565
Japan,JPN,2011,1772.7
Latvia,LVA,2011,1951.8978
Lithuania,LTU,2011,1858.8728
Luxembourg,LUX,2011,1515.0692
Malaysia,MYS,2011,2285.8323
Malta,MLT,2011,2052.0757
Mexico,MEX,2011,2248
Myanmar,MMR,2011,2439.4463
Netherlands,NLD,2011,1422.4435
New Zealand,NZL,2011,1746
Nigeria,NGA,2011,1984.2125
Norway,NOR,2011,1430.038
Pakistan,PAK,2011,2114.8743
Peru,PER,2011,1923.7831
Philippines,PHL,2011,2126.8171
Poland,POL,2011,2043.6
Portugal,PRT,2011,1866.5815
Romania,ROU,2011,1893.7997
Russia,RUS,2011,1979
Singapore,SGP,2011,2330.0723
Slovakia,SVK,2011,1793.0127
Slovenia,SVN,2011,1663.1636
South Africa,ZAF,2011,2254.5857
South Korea,KOR,2011,2127.1472
Spain,ESP,2011,1715.5109
Sri Lanka,LKA,2011,1993.5437
Sweden,SWE,2011,1632.517
Switzerland,CHE,2011,1619.3169
Taiwan,TWN,2011,2052.7603
Thailand,THA,2011,2357.5569
Turkey,TUR,2011,1864
United Kingdom,GBR,2011,1641.3157
United States,USA,2011,1745.0492
Uruguay,URY,2011,1585.9154
Vietnam,VNM,2011,2331.2832
Argentina,ARG,2012,1726.2584
Australia,AUS,2012,1759.5193
Austria,AUT,2012,1647.8529
Bangladesh,BGD,2012,2274.5391
Belgium,BEL,2012,1559.9052
Brazil,BRA,2012,1766.77
Bulgaria,BGR,2012,1644.4498
Cambodia,KHM,2012,2414.2522
Canada,CAN,2012,1712.5425
Chile,CHL,2012,2024
China,CHN,2012,2184.2307
Colombia,COL,2012,2021.057
Costa Rica,CRI,2012,2242.5991
Croatia,HRV,2012,1923.3143
Cyprus,CYP,2012,1834.7371
Czechia,CZE,2012,1776.1244
Denmark,DNK,2012,1423.2501
Ecuador,ECU,2012,1775.9338
Estonia,EST,2012,1885.6866
Finland,FIN,2012,1650.2601
France,FRA,2012,1528.8926
Germany,DEU,2012,1375.0267
Greece,GRC,2012,2055.374
Hong Kong,HKG,2012,2235.5942
Hungary,HUN,2012,1926.5392
Iceland,ISL,2012,1523.7321
India,IND,2012,2115.7102
Indonesia,IDN,2012,2026.3513
Ireland,IRL,2012,1707.4982
Israel,ISR,2012,1918.9104
Italy,ITA,2012,1734.1747
Japan,JPN,2012,1782.9
Latvia,LVA,2012,1934.2838
Lithuania,LTU,2012,1857.2939
Luxembourg,LUX,2012,1508.0867
Malaysia,MYS,2012,2268.6323
Malta,MLT,2012,2027.42
Mexico,MEX,2012,2239
Myanmar,MMR,2012,2439.0742
Netherlands,NLD,2012,1413.1395
New Zealand,NZL,2012,1734
Nigeria,NGA,2012,1880.9844
Norway,NOR,2012,1428.465
Pakistan,PAK,2012,2101.45
Peru,PER,2012,1923.4186
Philippines,PHL,2012,2132.0334
Poland,POL,2012,2038.4
Portugal,PRT,2012,1849.0493
Romania,ROU,2012,1811.5428
Russia,RUS,2012,1982
Singapore,SGP,2012,2337.4866
Slovakia,SVK,2012,1789.0425
Slovenia,SVN,2012,1644.5905
South Africa,ZAF,2012,2224.1082
South Korea,KOR,2012,2103.2305
Spain,ESP,2012,1701.1927
Sri Lanka,LKA,2012,2052.9392
Sweden,SWE,2012,1618.3754
Switzerland,CHE,2012,1603.2313
Taiwan,TWN,2012,2066.9531
Thailand,THA,2012,2312.438
Turkey,TUR,2012,1855
United Kingdom,GBR,2012,1655.1066
United States,USA,2012,1745.438
Uruguay,URY,2012,1571.8634
Vietnam,VNM,2012,2310.541
Argentina,ARG,2013,1714.8711
Australia,AUS,2013,1755.8271
Austria,AUT,2013,1632.0676
Bangladesh,BGD,2013,2231.4285
Belgium,BEL,2013,1558.0079
Brazil,BRA,2013,1755.6323
Bulgaria,BGR,2013,1644.9795
Cambodia,KHM,2013,2423.9707
Canada,CAN,2013,1707.413
Chile,CHL,2013,2015
China,CHN,2013,2178.241
Colombia,COL,2013,2000.6594
Costa Rica,CRI,2013,2156.5581
Croatia,HRV,2013,1909.4851
Cyprus,CYP,2013,1804.8607
Czechia,CZE,2013,1763.0048
Denmark,DNK,2013,1425.8413
Ecuador,ECU,2013,1780.7534
Estonia,EST,2013,1865.8429
Finland,FIN,2013,1639.5857
France,FRA,2013,1513.8743
Germany,DEU,2013,1362.6976
Greece,GRC,2013,2059.22
Hong Kong,HKG,2013,2225.4138
Hungary,HUN,2013,1920.5334
Iceland,ISL,2013,1521.8097
India,IND,2013,2117.103
Indonesia,IDN,2013,2024.2395
Ireland,IRL,2013,1719.5591
Israel,ISR,2013,1908.5657
Italy,ITA,2013,1719.5074
Japan,JPN,2013,1761.5
Latvia,LVA,2013,1927.7461
Lithuania,LTU,2013,1841.2473
Luxembourg,LUX,2013,1502.6809
Malaysia,MYS,2013,2240.9502
Malta,MLT,2013,2008.3445
Mexico,MEX,2013,2244
Myanmar,MMR,2013,2438.6584
Netherlands,NLD,2013,1417.5695
New Zealand,NZL,2013,1752
Nigeria,NGA,2013,1893.6323
Norway,NOR,2013,1417.9874
Pakistan,PAK,2013,2088.7529
Peru,PER,2013,1919.1624
Philippines,PHL,2013,2141.512
Poland,POL,2013,2034.7546
Portugal,PRT,2013,1859.1348
Romania,ROU,2013,1806.4569
Russia,RUS,2013,1980
Singapore,SGP,2013,2328.0503
Slovakia,SVK,2013,1771.6141
Slovenia,SVN,2013,1662.4053
South Africa,ZAF,2013,2211.9863
South Korea,KOR,2013,2094.2297
Spain,ESP,2013,1693.5347
Sri Lanka,LKA,2013,1896.4591
Sweden,SWE,2013,1608.7183
Switzerland,CHE,2013,1582.8923
Taiwan,TWN,2013,2062.2222
Thailand,THA,2013,2273.4939
Turkey,TUR,2013,1832
United Kingdom,GBR,2013,1665.8917
United States,USA,2013,1750.0786
Uruguay,URY,2013,1566.2067
Vietnam,VNM,2013,2267.4883
Argentina,ARG,2014,1695.364
Australia,AUS,2014,1747.937
Austria,AUT,2014,1621.5658
Bangladesh,BGD,2014,2231.8721
Belgium,BEL,2014,1555.2025
Brazil,BRA,2014,1739.4747
Bulgaria,BGR,2014,1644.059
Cambodia,KHM,2014,2442.6956
Canada,CAN,2014,1703.6506
Chile,CHL,2014,1990
China,CHN,2014,2178.1633
Colombia,COL,2014,1991.9746
Costa Rica,CRI,2014,2135.5332
Croatia,HRV,2014,1891.6031
Cyprus,CYP,2014,1792.988
Czechia,CZE,2014,1776.7375
Denmark,DNK,2014,1414.1547
Ecuador,ECU,2014,1733.5585
Estonia,EST,2014,1859.4319
Finland,FIN,2014,1636.3311
France,FRA,2014,1508.9885
Germany,DEU,2014,1367.0791
Greece,GRC,2014,2020.8816
Hong Kong,HKG,2014,2175.2473
Hungary,HUN,2014,1928.3038
Iceland,ISL,2014,1509.6294
India,IND,2014,2118.0881
Indonesia,IDN,2014,2008.4623
Ireland,IRL,2014,1731.0465
Israel,ISR,2014,1894.0676
Italy,ITA,2014,1717.1372
Japan,JPN,2014,1756.5
Latvia,LVA,2014,1938.4757
Lithuania,LTU,2014,1833.5299
Luxembourg,LUX,2014,1508.2611
Malaysia,MYS,2014,2249.6169
Malta,MLT,2014,1976.5052
Mexico,MEX,2014,2242
Myanmar,MMR,2014,2438.1577
Netherlands,NLD,2014,1428.8756
New Zealand,NZL,2014,1762
Nigeria,NGA,2014,1909.653
Norway,NOR,2014,1420.2477
Pakistan,PAK,2014,2095.2488
Peru,PER,2014,1904.4829
Philippines,PHL,2014,2143.2434
Poland,POL,2014,2041.3219
Portugal,PRT,2014,1866.8982
Romania,ROU,2014,1792.5336
Russia,RUS,2014,1985
Singapore,SGP,2014,2290.3225
Slovakia,SVK,2014,1759.6132
Slovenia,SVN,2014,1681.9049
South Africa,ZAF,2014,2209.0916
South Korea,KOR,2014,2069.3149
Spain,ESP,2014,1694.5872
Sri Lanka,LKA,2014,1926.2461
Sweden,SWE,2014,1609.4229
Switzerland,CHE,2014,1575.3215
Taiwan,TWN,2014,2059.0552
Thailand,THA,2014,2247.321
Turkey,TUR,2014,1832
United Kingdom,GBR,2014,1672.2679
United States,USA,2014,1754.4224
Uruguay,URY,2014,1562.999
Vietnam,VNM,2014,2150.6357
Argentina,ARG,2015,1691.5363
Australia,AUS,2015,1747.009
Austria,AUT,2015,1598.8944
Bangladesh,BGD,2015,2232.3542
Belgium,BEL,2015,1544.61
Brazil,BRA,2015,1709.4856
Bulgaria,BGR,2015,1644.3853
Cambodia,KHM,2015,2455.5508
Canada,CAN,2015,1707.073
Chile,CHL,2015,1988
China,CHN,2015,2174.3501
Colombia,COL,2015,1997.748
Costa Rica,CRI,2015,2156.9102
Croatia,HRV,2015,1827.651
Cyprus,CYP,2015,1789.7061
Czechia,CZE,2015,1756.161
Denmark,DNK,2015,1412.2715
Ecuador,ECU,2015,1701.3558
Estonia,EST,2015,1851.6166
Finland,FIN,2015,1637.1949
France,FRA,2015,1509.4127
Germany,DEU,2015,1368.1069
Greece,GRC,2015,2031.1405
Hong Kong,HKG,2015,2185.5789
Hungary,HUN,2015,1923.7209
Iceland,ISL,2015,1509.1685
India,IND,2015,2117.0117
Indonesia,IDN,2015,2024.287
Ireland,IRL,2015,1740.5286
Israel,ISR,2015,1895.4574
Italy,ITA,2015,1717.9958
Japan,JPN,2015,1750.9
Latvia,LVA,2015,1901.7413
Lithuania,LTU,2015,1859.4974
Luxembourg,LUX,2015,1521.0288
Malaysia,MYS,2015,2238.2729
Malta,MLT,2015,1964.5587
Mexico,MEX,2015,2248
Myanmar,MMR,2015,2437.8633
Netherlands,NLD,2015,1423.9202
New Zealand,NZL,2015,1757
Nigeria,NGA,2015,1703.4781
Norway,NOR,2015,1422.5608
Pakistan,PAK,2015,2096.1443
Peru,PER,2015,1932.4581
Philippines,PHL,2015,2148.5645
Poland,POL,2015,2049.009
Portugal,PRT,2015,1874.9194
Romania,ROU,2015,1785.6711
Russia,RUS,2015,1978
Singapore,SGP,2015,2263.1465
Slovakia,SVK,2015,1754.0863
Slovenia,SVN,2015,1687.8574
South Africa,ZAF,2015,2209.0916
South Korea,KOR,2015,2076.2959
Spain,ESP,2015,1699.4991
Sri Lanka,LKA,2015,1923.9354
Sweden,SWE,2015,1610.072
Switzerland,CHE,2015,1589.4751
Taiwan,TWN,2015,2057.2129
Thailand,THA,2015,2185.4456
Turkey,TUR,2015,1832
United Kingdom,GBR,2015,1669.0747
United States,USA,2015,1765.1826
Uruguay,URY,2015,1552.347
Vietnam,VNM,2015,2169.5916
