Subject Name,University Name,Per Year Fees,About Program,Program Duration,University Location,Program Name
Communication Data Science,University of Southern California,"71,568 EUR / year",The Communication Data Science MSc program offered at University of Southern California is a cross-disciplinary joint degree program offered by the Viterbi School of Engineering and the Annenberg School for Communication and Journalism. Students must be admitted by both schools.,1 year,"Los Angeles, California, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,University of North Texas,"29,091 EUR / year",The Master of Science in Data Science (MS-DS) program at University of North Texas is designed to address the current market needs for highly skilled data science and data analytics professionals.,1 year,"Denton, Texas, United States","M.Sc. / Full-time, Part-time / Online, On Campus, Blended"
Data Science and Analytics,Old Dominion University,"23,898 EUR / year",The purpose of the Data Science and Analytics MSc program offered at Old Dominion University is to provide students with the knowledge and skills to use state-of-the- art programming tools and software packages to develop statistical models. ,1 year,"Norfolk, Virginia, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Public Health Data Science,University of Southern California,"61,485 EUR / year","The Public Health Data Science MSc program offered at University of Southern California consists of required courses in Biostatistics, Epidemiology and Computing in addition to at least one elective course chosen to complement one or more of these areas.",1 year,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Engineering Sciences - Data Science,University at Buffalo,"21,313 EUR / year","The Engineering Sciences - Data Science program of the University at Buffalo provides students with a core foundation in big data and analysis by obtaining knowledge, expertise and training in data collection and management, data analytics, scalable data-driven discovery, and fundamental concepts.",1 year,"Buffalo, New York, United States",M.Sc. / Full-time / On Campus
Data Science,Florida Polytechnic University,"27,486 EUR / year","Pursuing a career in data science is one of the best choices a student can make. Data science was named the fastest-growing job in 2017 by LinkedIn, and in 2018 Glassdoor ranked data scientist as the best job in the United States. Florida Polytechnic University offers a degree in Data Science.",1 year,"Lakeland, Florida, United States",M.Sc. / Full-time / On Campus
Data Science,Lewis University,"25,728 EUR / year",Learn what it takes to turn data into actionable intelligence with the Master of Science in Data Science (MSDS) degree program from Lewis University.,1 year,Online,M.Sc. / Part-time / Online
"Information Technology, Data Science Concentration",California State University Fullerton,"11,005 EUR / year","The Master of Science in Information Technology, Data Science Concentration degree program at California State University Fullerton is for professionals interested in furthering their knowledge in the areas of information technology management and data science",1 year,"Fullerton, California, United States",M.Sc. / Full-time / On Campus
Data Science,Michigan Technological University,"25,559 EUR / year","The Data Science program of Michigan Technological University will provide you with a broad-based education in data mining, predictive analytics, cloud computing, data-science fundamentals, communication, and business acumen.",1 year,"Houghton, Michigan, United States",M.Sc. / Full-time / On Campus
Data Science,Drexel University,"28,980 EUR / year","Data Science at Drexel University   provides a strong foundation in the emerging area of data science, with foci on data management and accountability, visualization and communication, and computational, algorithmic and applied processing techniques.",2 years,"Philadelphia, Pennsylvania, United States",M.Sc. / Full-time / On Campus
Data Science and Strategic Analytics,Stockton University,"32,164 EUR / year","The Data Science and Strategic Analytics (DSSA) Program at Stockton University is a self-standing, master’s degree program. A student entering the program will acquire substantial experience in sophisticated, computational software and programming tools that will allow the student to explore data driven problems in the science, business, social science, medicine and/or the humanities.",1 year,"Ocean Acres, New Jersey, United States","M.Sc. / Full-time, Part-time / Blended"
Data Science,Rowan University,"22,088 EUR / year",The Data Science degree at Rowan University prepares graduates with a degree in a STEM-related field for a career in data science.,1 year,"Glassboro, New Jersey, United States",M.Sc. / Full-time / On Campus
Data Science,Augusta University,,Augusta University's Master of Science (MS) degree with a Major in Data Science provides individuals with rigorous training in data science methods in order to empower aspiring students with innovative data science methods to address complex problems facing the society and well-being of humankind. ,1 year,"Augusta, Georgia, United States","M.Sc. / Full-time, Part-time / On Campus"
Health Data Science,Thomas Jefferson University,"33,022 EUR / year","The Health Data Science program at Thomas Jefferson University is an ever-evolving multi-disciplinary field that involves using statistical inference, algorithmic development, and technology to make insights about data.",1 year,Online,M.Sc. / Part-time / Online
Data Science,Seattle University,"20,635 EUR / year",The Seattle University Master of Science in Data Science is an interdisciplinary program focused on the study of data-driven decision making.,2 years,"Seattle, Washington, United States",M.Sc. / Part-time / On Campus
Data Science,University of Saint Thomas Saint Paul,"42,350 EUR / year","The M.S. degree in Data Science at University of Saint Thomas Saint Paul prepares students to pursue careers in the emerging and high-growth fields of data science and big data. It combines in-depth understanding with hands-on skills, technologies, techniques, and analysis tools for data science.",1 year,"Saint Paul, Minnesota, United States",M.Sc. / Full-time / On Campus
Data Science,University of Notre Dame,"57,232 EUR / year","The Data Science program is offered by the Department of Applied and Computational Mathematics and Statistics (ACMS) at University of Notre Dame, with the participation of faculty from the Department of Computer Science, the Mendoza College of Business, and industry experts. ",1 year,Online,M.Sc. / Part-time / Online
Data Science,New York Institute of Technology,"42,626 EUR / year",In the Master of Science in Data Science from New York Institute of Technology you will learn to master the ever-growing mountain of crucial data that businesses across the globe need help managing and understanding.,1 year,"Manhattan, New York, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Columbia University,"62,615 EUR / year",The M.S. in Data Science from Columbia University allows students to apply data science techniques to their field of interest.,1 year,"Manhattan, New York, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,Christian Brothers University,"20,704 EUR / year","The Master of Science in Data Science degree at Christian Brothers University is for anyone with a penchant for analytics who desires proficiency in the latest data scientific techniques which are in increasing demand across industries as varied as information technology, healthcare, finance, retail, and logistics.",1 year,"Memphis, Tennessee, United States",M.Sc. / Full-time / On Campus
Data Science and Analytics,Kennesaw State University,"23,605 EUR / year","The Master of Science in Data Science and Analytics (MSDSA) program at Kennesaw State University (KSU) is a professional degree program which prepares a diverse student body to utilize cutting edge data science and analytics techniques for careers in business, industry, government, and health care. ",2 years,"Kennesaw, Georgia, United States",M.Sc. / Full-time / On Campus
Data Science,Regis University,"32,418 EUR / year","At Data Science from Regis University you’ll gain a deep understanding of predictive analytics, statistics, data visualization and data engineering, as well as the ethical and legal nuances of data collection.",1 year,"Denver, Colorado, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Applied Data Science (Online),University of Michigan,"38,993 EUR / year",A Master of Applied Data Science degree from the University of Michigan School of Information could be your entry into one of today’s most in-demand fields. ,1 year,Online,"M.Sc. / Full-time, Part-time / Online"
Data Analytics,George Washington University,"114,870 EUR / year","Administered jointly through the Department of Computer Science and the Department of Engineering Management & Systems Engineering, the Master of Science in Data Analytics offered by George Washington University aims to address the growing demand for professionals skilled in big data and data analytics in government, industry and research organizations.",1 year,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
Data Science,Michigan State University,"17,992 EUR / year","The Master of Science degree in Data Science from Michigan State University is designed to provide students with an interdisciplinary blend of statistics, computer science, and computational science and mathematics which provides the necessary training to assimilate, process, analyze, and interpret data from diverse sources.",2 years,"East Lansing, Michigan, United States",M.Sc. / Full-time / On Campus
Data Science,University of Delaware,"27,098 EUR / year","The Data Science course at the University of Delaware is as a professional masters with a flexible set of core requirements in statistics, mathematics and computer and information sciences. It is aimed at providing a solid background in the methods behind data science to work with large and/or dynamic data sets. ",1 year,"Newark, Delaware, United States",M.Sc. / Full-time / On Campus
Applied Data Science,University of San Diego,"15,362 EUR / year","The Applied Data Science programme from the University of San Diego is committed to training current and future artificial intelligence professionals for the important and fascinating work ahead. The strengths of our program include a significant emphasis on real-world applications, ethics, privacy, moral responsibility, and social good in designing AI-enabled systems.","1 year, 8 months",Online,M.A. / Full-time / Online
Data Science,Worcester Polytechnic Institute,"26,738 EUR / year",The Data Science program of Worcester Polytechnic Institute is one of only a handful of master's in data sciences that prepares graduates to work in the rapidly expanding field.,1 year,"Worcester, Massachusetts, United States",M.Sc. / Full-time / On Campus
Data Science,"University of California, Riverside","26,827 EUR / year","Prepare yourself to become a leader in the growing field of data analysis with the Data Science program at the University of California, Riverside.","1 year, 1 month",Online,M.Sc. / Part-time / Online
Statistics - Data Science,California State University East Bay,"14,354 EUR / year","The Statistics - Data Science program at California State University East Bay is flexible in order to serve the needs of students with varying backgrounds (including statistics, mathematics, computer science, engineering, business, economics and other quantitative fields) and with different career objectives.",1 year,"Hayward, California, United States",M.Sc. / Full-time / On Campus
Data Science,New York University,"35,823 EUR / year","The Data Science MSc program from New York University is a highly-selective program for students with a strong background in mathematics, computer science, and applied statistics. The degree focuses on the development of new methods for data science.",2 years,"New York City, New York, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science and Analytics,University of Oklahoma,"14,995 EUR / year",The University of Oklahoma Data Science and Analytics Institute's online Master of Science in Data Science and Analytics will help you become a data-driven leader and decision-maker in this growing career field.,2 years,Online,M.Sc. / Part-time / Online
Computational Data Science,Carnegie Mellon University,"51,484 EUR / year",The Master's of Computational Data Science program at Carnegie Mellon University equips you with the skills and knowledge you need to develop the layers of technology involved in the next generation of massive information system deployments and analyze the data those systems generate.,1 year,Online,M.Sc. / Full-time / Online
Data Science,Simplilearn,"1,099 EUR / full","This Data Science of Simplilearn course, in collaboration with IBM, accelerates your career in Data Science and provides you with the world-class training and skills required to become successful in this field. ",11 months,Online,M.Sc. / Part-time / Online
Data Science,East Carolina University,"19,164 EUR / year","Big data, machine learning and cloud computing have fundamentally changed how we live and work. Data science is the application of these technologies to solve difficult problems in several domains. At East Carolina University's Data Science, M.Sc. program, you will learn all of these and more.",1 year,"Greenville, North Carolina, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Brown University,"8,739 EUR / module",The Data Science programme at Brown University offers a master's program that will prepare students from a wide range of disciplinary backgrounds for distinctive careers in Data Science.,1 year,"Providence, Rhode Island, United States",M.Sc. / Full-time / On Campus
Data Science,Montclair State University,"12,525 EUR / year","Data Science at Montclair State University combines the fundamentals of Data Science, with options for students to choose a domain area relating to Data Science.",2 years,"Montclair, New Jersey, United States",M.Sc. / Full-time / On Campus
Data Science,East Carolina University,"19,164 EUR / year","Big data, machine learning and cloud computing have fundamentally changed how we live and work. Data science is the application of these technologies to solve difficult problems in several domains. At East Carolina University's Data Science, M.Sc. program, you will learn all of these and more.",1 year,"Greenville, North Carolina, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,University of Connecticut,"25,067 EUR / year",The Master of Engineering (MENG) in Data Science (data analytics) program from University of Connecticut is a 30-credit online and distance learning graduate degree focused on data science methods specific to the field of engineering.,1 year,Online,M.Eng. / Part-time / Online
Computational Data Science,Temple University,"46,944 EUR / year",Extract knowledge from big data with the Master of Science in Computational Data Science in Temple University’s College of Science and Technology.,1 year,"Philadelphia, Pennsylvania, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,Minnesota State University Mankato,"11,293 EUR / year","The M.S. in Data Science program from Minnesota State University Mankato provides a strong foundation for developing, implementing, and evaluating data analytics solutions to transform raw data into meaningful and actionable insights.",2 years,"Mankato, Minnesota, United States",M.Sc. / Full-time / On Campus
Data Science,The City University of New York,"23,666 EUR / year",The MS in Data Science online degree program at The City University of New York helps students earn the credentials and acquire the skills needed to enter or advance in the fast-growing field of data science. ,1 year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Data Science,Tufts University,"25,539 EUR / year",Data has the potential to shape our lives in ways we are only beginning to understand. The Data Science program of Tufts University prepares you for a next-generation career in data analysis and data-centric problem-solving—or for further study in the data science field.,2 years,Online,M.Sc. / Part-time / Online
Data Science,University of Nebraska Omaha,"15,556 EUR / year","The vision of the University of Nebraska Omaha Master of Science in Data Science program is to provide flexible, innovative, and technologically current education to rising data professionals who want to prepare for corporate leadership positions through their functional expertise.",2 years,"Omaha, Nebraska, United States",M.Sc. / Full-time / On Campus
Data Science,Bowling Green State University,"19,239 EUR / year",The Master of Science in Data Science degree from Bowling Green State University prepares individuals to be the next generation of data scientists.,1 year,"Bowling Green, Kentucky, United States",M.Sc. / Full-time / On Campus
Data Science,University of the Pacific,"23,915 EUR / year",The Data Science program from University of the Pacific equips students for the exciting field of data science.,2 years,"Stockton, California, United States",M.Sc. / Full-time / Blended
Data Science Online,American University Washington DC,"31,920 EUR / year","American University Washington DC's Data Science Online MS program offers a comprehensive exploration of the field of data science. Through a flexible online format, students gain in-depth knowledge and practical skills in data analysis, machine learning, and data visualization.",1½ year,Online,M.Sc. / Part-time / Online
Applied Data Science,University of Southern California,"71,568 EUR / year",The objective of the Applied Data Science MSc program offered at University of Southern California is to train students that have limited or no background in computer science to be skilled data scientists.   ,1 year,"Los Angeles, California, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Applied Data Science for Business,Portland State University,"33,381 EUR / year","The Applied Data Science for Business MSc program from Portland State University was built with the strategic thinker in mind. This STEM-designated degree program will position you for a career requiring knowledge of cloud services, machine learning, and artificial intelligence.",1 year,Online,"M.Sc. / Full-time, Part-time / Online"
Data Science,University of North Carolina Wilmington,"18,596 EUR / year","University of North Carolina Wilmington offers a 16 month, accelerated master's degree in Data Science. ","1 year, 4 months","Wilmington, North Carolina, United States",M.Sc. / Full-time / On Campus
Computational Data Science (Online),Drexel University,"19,320 EUR / year","This Computational Data Science (Online) program from Drexel University is designed to provide students with a strong foundation in the emerging field of data science, with a focus on computational and systems issues.",1 year,Online,Postgraduate Certificate / Part-time / Online
Data Science,University of Colorado at Boulder,"21,214 EUR / year","The on-campus Master of Science in Data Science program at the University of Colorado at Boulder focuses on developing knowledge and skills in interdisciplinary and collaborative data science competencies including statistical analysis, data structures and algorithms, data mining, machine learning, big data architecture and data visualization.",2 years,"Boulder, Colorado, United States",M.Sc. / Full-time / On Campus
Data Science,Merrimack College,"14,393 EUR / year",The online MS in Data Science program from Merrimack College develops well-rounded professionals with the hard and soft skills necessary to start and build a successful career in the field of data science,"1 year, 4 months",Online,M.Sc. / Part-time / Online
Data Science,"University of California, Irvine (UCI)","25,249 EUR / year","The curriculum of the Data Science program of the University of California, Irvine (UCI) is designed to provide you with a strong foundation in modern data science.","1 year, 3 months","Irvine, California, United States",Master / Full-time / On Campus
"Data Science, Applied",Clarkson University,"33,049 EUR / year","Clarkson University offers the Data Science, Applied MS program, empowering students with practical knowledge and skills in the realm of data-driven decision-making.",1 year,"Potsdam, New York, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,University of North Dakota,"24,143 EUR / year",Gain the data science skills employers want with the Data Science program from University of North Dakota.,2 years,"Grand Forks, North Dakota, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,University of Phoenix,"23,184 EUR / year","Analyze, design, and manage data sets and models used to optimize functionality, scalability, and improve business system performance with the Master of Science in Data Science program from the University of Phoenix.",1 year,Online,M.Sc. / Part-time / Online
Data Science,Syracuse University,"39,150 EUR / year","Now more than ever, data is driving critical decision making for global organizations across a wide range of industries and fields. As a data scientist, you will solve complex technical challenges and help ensure important business decisions are backed by data. Learn more with the Syracuse University’s online M.S. in Data Science program.",1½ year,Online,M.Sc. / Part-time / Online
Data Sciences and Applications,University at Buffalo,"21,313 EUR / year","The Data Sciences and Applications program of the University at Buffalo will train students in analytics, including standard methods in data mining and machine learning, so they will possess the expertise to obtain insights from large and heterogeneous data sets.",1 year,"Buffalo, New York, United States",Master / Full-time / On Campus
Applied Data Science,Bay Path University,"29,562 EUR / year","Go beyond business analytics. Data Science teams need general industry experts who understand data science, as well as, technical specialists who can make it happen.  The Applied Data Science degree is offered at Bay Path University.",1 year,Online,"M.Sc. / Full-time, Part-time / Online"
Data Science,Worcester Polytechnic Institute,"26,738 EUR / year","Worcester Polytechnic Institute’s (WPI) Master of Science in Data Science online program prepares you to derive new insights from data and articulate these findings into innovative solutions for how we live, work, and interact with the world around us.",2 years,Online,M.Sc. / Part-time / Online
Geospatial Data Science Certificate,Temple University,"16,043 EUR / full",Develop proficiency in data science and programming tools with the Geospatial Data Science Certificate in Temple University’s College of Liberal Arts.,,"Philadelphia, Pennsylvania, United States",Postgraduate Certificate / Part-time / On Campus
Data Science,Texas A&M University,"39,374 EUR / year","The Master of Science in Data Science degree at Texas A&M
University is an interdisciplinary program offered by the Departments of Computer Science and Engineering, Electrical and Computer Engineering, Mathematics, and Statistics within the University’s Colleges of Engineering and Science, and administered jointly with the Texas A&M Institute of Data Science.",1 year,"College Station, Texas, United States",M.Sc. / Full-time / On Campus
Data Science,University of Memphis,"10,828 EUR / year",Data Science at University of Memphis has revolutionized the way organizations make strategic decisions.,2 years,"Memphis, Tennessee, United States",M.Sc. / Full-time / On Campus
Computational Data Science,Bradley University,"32,883 EUR / year",Bradley University’s graduate Computational Data Science concentration teaches you the theory and algorithms used in data science and how to implement them to discover new knowledge.,1 year,"Peoria, Illinois, United States",M.Sc. / Full-time / On Campus
Data Science,University of Rhode Island,"94,775 EUR / year","The Data Science program at University of Rhode Island is a non-thesis program, requiring 30 credit hours and a culminating experience that demonstrates your ability to apply data science concepts to solve a complex, relevant real-world problem. Choose from areas of interest such as business, biology or the environment.",1 year,Online,M.Sc. / Part-time / Online
Applied Data Science Graduate Certificate,University of Southern California,"67,095 EUR / year",The objective of the Applied Data Science MSc program offered at University of Southern California is to train students that have limited or no background in computer science to be skilled data scientists.   ,1 year,"Los Angeles, California, United States",Master / Full-time / On Campus
Data Science,National University,"18,352 EUR / year","The culmination of the Data Science program at the National University is a three-month capstone project where real data from sponsoring organizations or publicly available data will be used to solve specialized problems in analytical database design, programming, implementation, or optimization. ",1 year,"San Diego, California, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science Foundations Graduate Certificate,University of Southern California,"67,095 EUR / year",The objective of the Data Science Foundations Graduate Certificate program offered at University of Southern California is to train students that have limited or no background in computer science to be skilled data scientists.   ,1 year,"Los Angeles, California, United States",Master / Full-time / On Campus
Data Science and Engineering,North Carolina Agricultural & Technical State University,"16,189 EUR / year","The M.S. in Data Science and Engineering from North Carolina Agricultural & Technical State University is an interdisciplinary graduate program designed for students who seek to use computing and data science and engineering to solve problems involving big data, extensive computations, and complex modeling, simulation, optimization and visualization.",1½ year,"Greensboro, North Carolina, United States",M.Sc. / Full-time / On Campus
Data Science and Engineering,The City University of New York,"15,777 EUR / year","The Data Science and Engineering (DSE) program at The City University of New York provides a solid foundation in core data science and engineering skills, which allows students to analyze, process, visualize, and apply machine learning and computational statistics to problems in engineering, science, and other disciplines.",1½ year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Data Science,University of Kentucky,"31,610 EUR / year","The Masters of Data Science program at University of Kentucky is administered jointly by three complementary programs: Computer Science, Biostastics and Institute of Biomedical Informatics.",2 years,"Lexington-Fayette, Kentucky, United States",Master / Full-time / On Campus
Data Science,University at Albany,"21,738 EUR / year",Master the theories and applications that enable machines to learn and make predictions with the Data Science programe from University at Albany.,1 year,"Albany, New York, United States",M.Sc. / Full-time / On Campus
Data Science - Computational Biology and Bioinformatics,Lewis University,"25,728 EUR / year","Look at data analysis from the perspective of biology and discover how to develop solutions for computational biology and bioinformatics data management projects, all with this Data Science - Computational Biology and Bioinformatics concentration from Lewis University.",1 year,Online,M.Sc. / Part-time / Online
Data Science,Indiana University Northwest,"21,784 EUR / year",Our residential Master of Science in Data Science at Indiana University Northwest provides the foundational knowledge students need to lay the groundwork for a lifelong career in the fastest-growing field in technology.,1 year,"Bloomington, Indiana, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science and Business Analytics,The University of North Carolina at Charlotte,"32,183 EUR / year",The Data Science and Business Analytics program at The University of North Carolina at Charlotte is the region’s first Professional Science Master's (PSM) level-program developed to prepare the future’s leaders in data science and business analytics.,1 year,"Charlotte, North Carolina, United States",M.Sc. / Full-time / On Campus
Data Science,The City University of New York,"23,666 EUR / year","Drive change with an M.S. in Data Science from the Graduate Center of The City University of New York. As a public university, we offer an exceptional program at an affordable tuition.",1 year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Data Science,Montana State University,"18,123 EUR / year","Data Science from Montana State University helps you attain foundational training in data analysis, computer science and statistics in order to solve a multitude of data-driven problems, from data-mining to machine learning and beyond.",1 year,"Bozeman, Montana, United States",M.Sc. / Full-time / On Campus
Data Science,Tennessee State University,"12,345 EUR / year","The Master of Science in Data Science program at Tennessee State Univrsity brings computer science, applied mathematics, and statistics together to prepare its graduates for seeking careers in data science.",1 year,Online,M.Sc. / Part-time / Online
Statistics- Data Science,University of Southern Maine,"18,684 EUR / year","Statistics- Data Science is offered by University of Southern Maine. Gain the analytical skills and cutting-edge techniques in data science to solve sophisticated, real-world problems.",2 years,"Gorham, Maine, United States","M.Sc. / Full-time, Part-time / On Campus"
Applied Data Science and Analytics,Howard University,"27,270 EUR / year",Howard University's fully online M.S. in Applied Data Science and Analytics program trains the next generation of data-driven leaders ready to address real-world problems backed by data intelligence.,1 year,Online,M.Sc. / Part-time / Online
"Data Science, Analytics and Engineering (Computational Models and Data)",Arizona State University,"26,655 EUR / year","The Data Science, Analytics and Engineering (Computational Models and Data)  program from Arizona State University is designed for graduate students who want to pursue a thorough education and research in the area of big data systems. ",1 year,"Tempe, Arizona, United States",M.A. / Full-time / On Campus
Health Informatics - Health Data Science,University of Denver,"35,696 EUR / year","In the Health Informatics - Health Data Science program of the University of Denver, you’ll work with real hands-on data science projects using de-identified data from a curated health data repository built with industry partners—the first of its kind!",1½ year,"Denver, Colorado, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Clayton State University,"8,105 EUR / year",The Data Science program at Clayton State University enables students to pursue advanced careers in Data Science addressing state and national workforce shortages and supporting the growth of the local knowledge-based economy.,1 year,"Morrow, Georgia, United States",M.Sc. / Full-time / On Campus
Data Science and Engineering - Data Science Option,Auburn University,"31,285 EUR / year","The Master of Science in Data Science and Engineering - Data Science Option from Auburn University program, offered on campus and online, prepares students to pursue careers in data science and engineering, where valuable insights are derived from massive amounts of raw data.",1 year,"Auburn, Alabama, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Northwestern University,"13,563 EUR / module","The Master of Science in Data Science (MSDS) students at Northwestern University learn how to utilize relational, document, and graph database systems and analytics software built upon open-source systems such as R, Python, and Go, with TensorFlow and Keras for deep learning. ",1 year,Online,Master / Part-time / Online
Data Science,The University of Iowa,"18,578 EUR / year",The Data Science at The University of Iowa aims to train the next generation of data scientists.,1 year,"Iowa City, Iowa, United States",M.Sc. / Full-time / On Campus
Data Science,Tufts University,"47,886 EUR / year","The Data Science program of Tufts University, administered jointly by the departments of Computer Science and Electrical and Computer Engineering, prepares students for future careers and/or further study in Data Science.",1 year,"Medford, Massachusetts, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,University of Minnesota,"27,292 EUR / year","The Data Science program of the University of Minnesota is a regular, two-year master's program integrates a strong foundation in big data and analysis.",2 years,"Minneapolis, Minnesota, United States",M.Sc. / Full-time / On Campus
"Applied Statistics, Analytics and Data Science",University of Kansas,"16,574 EUR / year","University of Kansas’s Applied Statistics, Analytics and Data Science graduate programs are designed for students who want to enter or advance in the in-demand field of data and statistics. ",1 year,Online,Master / Part-time / Online
Data Science,South Dakota State University,"18,102 EUR / year","Data Science at South Dakota State University uses the power of data to help business, government and society make better decisions.",1 year,"Brookings, South Dakota, United States",M.Sc. / Full-time / On Campus
Programming for Data Science with Python,Udacity,218 EUR / module,"Learn programming skills needed to uncover patterns and insights in large data sets, running queries with relational databases and working with Unix shell and Git in the Programming for Data Science with Python program at Udacity.",2 months,Online,Pre-Master / Part-time / Online
Data Science - Statistics,New Jersey Institute of Technology,"29,230 EUR / year","In the Data Science - Statistics MS program at the New Jersey Institute of Technology, students will gain a strong, fundamental understanding of the statistical and computational tools of data analytics.",1 year,"Newark, New Jersey, United States",M.Sc. / Full-time / On Campus
Data Science,Texas A&M University-Corpus Christi,"9,828 EUR / year","Texas A&M University-Corpus Christi’s Data Science program will prepare students to meet the growing state, national, and international needs for highly qualified personnel in the fields of data science. ",1 year,"Corpus Christi, Texas, United States",M.Sc. / Full-time / On Campus
Data Science,Johns Hopkins University,"57,979 EUR / year","Take the lead as the knowledgeable, go-to resource in our ever-evolving, data-driven world. Courses in Computer Science and Applied Mathematics provide a foundation for launching our graduates into a variety of specialized careers, including data pipeline and storage and statistical analysis. The Data Science program is offered at Johns Hopkins University.",5 years,"Baltimore, Maryland, United States","M.Sc. / Part-time / Online, Blended"
Analytics - Discovery Informatics and Data Sciences,Rutgers University,"29,340 EUR / year","The Analytics - Discovery Informatics and Data Sciences program of Rutgers University prepares students for data-driven decision making. The curriculum integrates courses in analytics/data science with courses in business and management, through a professionally guided curriculum.",1½ year,Multiple locations,"Master / Full-time, Part-time / Online, On Campus, Blended"
Data Science,University of Pennsylvania,"29,027 EUR / year","The Data Science program of University of Pennsylvania studies the emerging discipline of data science that has become essential to making decisions, understanding observations, and solving problems in today’s world. ",1½ year,"Philadelphia, Pennsylvania, United States",Master / Full-time / On Campus
Engineering Data Science,University of Houston,"29,257 EUR / year","The Engineering Data Science program at the University of Houston is a non-thesis, 10 course graduate curriculum program.",1 year,"Houston, Texas, United States",M.Sc. / Full-time / On Campus
Data Science,St. John's University,"27,126 EUR / year",The M.S. in Data Science at St. John's University prepares students for related careers that involve the application of computational and statistical techniques that are becoming more vital to industry and research.  ,1½ year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Public Policy Data Science,University of Southern California,"61,485 EUR / year",Informatics and big data are increasingly essential to policy development throughout the public and private sectors. Bolster your decision-making role in government agencies and the corporate realm with the Public Policy Data Science MSc program offered at University of Southern California.,1 year,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Statistics and Data Science,University of Houston,"25,714 EUR / year","The Statistics and Data Science program of the University of Houston, offered by the Department of Mathematics, provides students with training in the statistical analysis of data sets, as well as in state-of-the-art data mining techniques.",1 year,"Houston, Texas, United States",M.Sc. / Full-time / On Campus
Complex Systems and Data Science,The University of Vermont,"49,270 EUR / year","The Complex Systems and Data Science degree offered by The University of Vermont trains emerging data scientists to find, model, understand, and tell the stories of the patterns they uncover.",1 year,"Burlington, Vermont, United States",M.Sc. / Full-time / On Campus
Data Science,University of Michigan,"50,794 EUR / year","In this Data Science program offered at the University of Michigan, core data science training is focused on the first two pillars, along with practice in applying their skills to address problems in application domains.",1 year,"Ann Arbor, Michigan, United States",M.Sc. / Full-time / On Campus
Data Science,Juniata College,"52,039 EUR / year","The Data Science program at Juniata College is designed for individuals with bachelor’s degrees who want to learn data science, with no prerequisites of courses in computer science or statistics.",1 year,Online,Master / Part-time / Online
Graduate Pathway in Data Science - Data Science M.S.,The University of Alabama at Birmingham,"29,211 EUR / year",The Graduate Pathway in Data Science - Data Science M.S. will prepare you to enter your next semester of a master's degree program at The University of Alabama at Birmingham. ,1 year,"Birmingham, Alabama, United States",Pre-Master / Full-time / On Campus
Education Data Science,Stanford University,"23,472 EUR / year","Data hold enormous potential to advance discovery, decision making, and the continuous improvement of learning. Stanford University's program in Education Data Science integrates the complex and rich disciplines of computer science and statistics with education and social science theory. It prepares students to apply data science skills and techniques to education research and practice.",2 years,"Stanford, California, United States",M.Sc. / Full-time / On Campus
Computational Data Science,Indiana University Northwest,"19,708 EUR / year","At Indiana University Northwest's Master of Computational Data Science, you’ll study statistics, regression, sequence analysis, machine learning, data mining, and data analysis (like database systems, information visualization, and “big data” analytics).",1 year,"Indianapolis, Indiana, United States",M.Sc. / Full-time / On Campus
Data Science and Engineering,The University of Maine,"28,167 EUR / year",The Data Science and Engineering programs offered at The University of Maine are intended to meet the growing demand for graduates with core skills in managing and analyzing complex data and analytics challenges. ,2 years,"Orono, Maine, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science and Analytics,Georgetown University,"27,183 EUR / year","The Data Science and Analytics Master is offered by Georgetown University. Our Masters in Data Science and Analytics program (DSAN) focuses on equipping students with the skills to combine computational, mathematical, and statistical methodology with exceptional communication skills and creativity.  ",1 year,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
